        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        8bd2b5dc7f60                                                                                                   sha256:b3cddc756f605d14d8ed7841ee6a71861d5752580ec86a1a1b499e36bbde30c3                   "/entrypoint.sh"               Up 5 days                  []                   [/k8s_standalone_gateway-service-1605623800-standalone-6f576c899f-zd7gf_keystone-dev_927168bf-5f66-44c7-8ee2-25f5282b8754_0]
        0d2d1f5d5476                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 5 days                  []                          [/k8s_POD_gateway-service-1605623800-standalone-6f576c899f-zd7gf_keystone-dev_927168bf-5f66-44c7-8ee2-25f5282b8754_0]
        bfc02caf3a06                                                                                                   sha256:2c6e78c33f35d194ff6f87954874dba04f888543fb7b1790f9fbfe24867227a4                   "/entrypoint.sh"               Up 5 days                  []                                          [/k8s_mss-service_mss-service-66ffcf77d4-lj4g2_morza-test-mss_7bac5adf-3396-4599-bf49-777e81298f4b_0]
        cc59376f41fb                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 5 days                  []                                                  [/k8s_POD_mss-service-66ffcf77d4-lj4g2_morza-test-mss_7bac5adf-3396-4599-bf49-777e81298f4b_0]
        6b98b8fc4f9a                                               cirrus-docker.jfrog.io/gateway-service/docker-image@sha256:0a8463716c610fb202ce605173bbb0c149ba1e46288267bd21f73d520625e7ff                   "/entrypoint.sh"               Up 6 days                  []                  [/k8s_gateway-service_gateway-service-65dbf67486-9gknz_testmorza-18-11-2020-automatic_a4041c16-8600-4533-806e-7db75111af00_0]
        2ccd11cb46b5                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 6 days                  []                              [/k8s_POD_gateway-service-65dbf67486-9gknz_testmorza-18-11-2020-automatic_a4041c16-8600-4533-806e-7db75111af00_0]
        fecfbeed0338                                                                                                   sha256:2c6e78c33f35d194ff6f87954874dba04f888543fb7b1790f9fbfe24867227a4                   "/entrypoint.sh"               Up 6 days                  []                               [/k8s_mss-service_mss-service-7bfbb5f86b-xjrqq_morza-17-11-2020automatic_2744ba15-7d15-42a5-a2f1-8594f623387c_0]
        12323fd14162                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 6 days                  []                                       [/k8s_POD_mss-service-7bfbb5f86b-xjrqq_morza-17-11-2020automatic_2744ba15-7d15-42a5-a2f1-8594f623387c_0]
        4d445e50277e                                                                                                   sha256:d96e9a958a712b5744d882a1cf05e64749ab9f293889b166b73271fb99c0ef92                   "/entrypoint.sh"               Up 7 days                  []                                    [/k8s_standalone_orion-pagelist-standalone-5dcdfb5988-gvnsq_staging_f0e256dd-6206-45e5-be2b-048207193bad_0]
        ab15cdbea8d8                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                           [/k8s_POD_orion-pagelist-standalone-5dcdfb5988-gvnsq_staging_f0e256dd-6206-45e5-be2b-048207193bad_0]
        feea327b14f4                                                                                                   sha256:af7a86a25762bc1fa4ddbcd3c83573dcd6943fdb355deddbf106015435d8f35c           "/fluentd/entrypoint.sh"               Up 7 days                  []                            [/k8s_fluentd_k4111106-eb9c-4ea5-9265-ae9a83e1ad9b-log-router-clndn_logging_25d48215-da53-4c4a-83dd-25a65b527ca2_1]
        1417dcaa8a18                                                                                                   sha256:af7a86a25762bc1fa4ddbcd3c83573dcd6943fdb355deddbf106015435d8f35c           "/bin/config-reloader …"               Up 7 days                  []                           [/k8s_reloader_k4111106-eb9c-4ea5-9265-ae9a83e1ad9b-log-router-clndn_logging_25d48215-da53-4c4a-83dd-25a65b527ca2_0]
        d72b79ca8b27                                                                                                   sha256:af7a86a25762bc1fa4ddbcd3c83573dcd6943fdb355deddbf106015435d8f35c           "/fluentd/entrypoint.sh"   Exited (1) 7 days ago                  []                            [/k8s_fluentd_k4111106-eb9c-4ea5-9265-ae9a83e1ad9b-log-router-clndn_logging_25d48215-da53-4c4a-83dd-25a65b527ca2_0]
